num	question	a	b	c	d	solution
1	Was war am 8. Mai 1945?	Ende des Zweiten Weltkriegs in Europa	Tod Adolf Hitlers	Wahl von Konrad Adenauer zum Bundeskanzler	Beginn des Berliner Mauerbaus	a
2	Was gab es während der Zeit des Nationalsozialismus in Deutschland?	das Recht zur freien Entfaltung der Persönlichkeit	den Schutz der Menschenwürde	das Verbot von Parteien	Pressefreiheit	c
3	Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?	Willy Brandt	Konrad Adenauer	Kurt Georg Kiesinger	Helmut Schmidt	b
4	Wie endete der Zweite Weltkrieg in Europa offiziell?	durch eine Revolution in Deutschland	mit dem Rückzug der Deutschen aus den besetzten Gebieten	mit dem Tod Adolf Hitlers	durch die bedingungslose Kapitulation Deutschlands	d
5	In welchem Jahr wurde Hitler Reichskanzler?	1923	1927	1933	1936	c
6	Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?	1945 bis 1989	1933 bis 1945	1932 bis 1950	1918 bis 1923	b
7	Das "Dritte Reich" war eine …	Räterepublik.	Monarchie.	Diktatur.	Demokratie.	c
8	Welcher Krieg dauerte von 1939 bis 1945?	der Golfkrieg	der Erste Weltkrieg	der Zweite Weltkrieg	der Vietnamkrieg	c
9	In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?	1925	1930	1938	1945	c
10	Was passierte am 9. November 1938 in Deutschland?	Die Nationalsozialisten verlieren eine Wahl und lösen den Reichstag auf	Jüdische Geschäfte und Synagogen werden durch Nationalsozialisten und ihre Anhänger zerstört	Mit dem Angriff auf Polen beginnt der Zweite Weltkrieg	Hitler wird Reichspräsident und lässt alle Parteien verbieten	b
11	Wann waren die Nationalsozialisten in Deutschland an der Macht?	1888 bis 1918	1921 bis 1934	1933 bis 1945	1949 bis 1963	c
12	Claus Schenk Graf von Stauffenberg wurde bekannt durch …	das Attentat auf Hitler am 20. Juli 1944.	den Aufbau der Wehrmacht.	eine Goldmedaille bei den Olympischen Spielen 1936.	den Bau des Reichstagsgebäudes.	a
13	Wann war der Zweite Weltkrieg zu Ende?	1945	1961	1949	1933	a
14	Was kennzeichnete den NS-Staat? Eine Politik …	der allgemeinen Religionsfreiheit	der Entwicklung der Demokratie	der Meinungsfreiheit	des staatlichen Rassismus	d
15	Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?	Verfolgung der Juden	freie Wahlen	Pressezensur	willkürliche Verhaftungen	b
16	Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland …	ein Fürstentum.	einen demokratischen Staat.	eine Diktatur.	eine Monarchie.	c
17	Wer baute die Mauer in Berlin?	die DDR	die USA	Großbritannien	die Bundesrepublik Deutschland	a
18	Bei welchen Demonstrationen in Deutschland riefen die Menschen "Wir sind das Volk"?	bei den Demonstrationen 1968 in der Bundesrepublik Deutschland	bei den Montagsdemonstrationen 1989 in der DDR	beim Arbeiteraufstand 1953 in der DDR	bei den Anti-Atomkraft-Demonstrationen 1985 in der Bundesrepublik Deutschland	b
19	Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als "Alliierte Besatzungsmächte" bezeichnet?	Frankreich, Sowjetunion, Italien, Japan	USA, Sowjetunion, Spanien, Portugal	USA, Sowjetunion, Großbritannien, Frankreich	Sowjetunion, Großbritannien, Polen, Schweden	c
20	Welches Land war keine "Alliierte Besatzungsmacht" in Deutschland?	Sowjetunion	Japan	USA	Frankreich	b
21	Wann wurde die Bundesrepublik Deutschland gegründet?	1939	1945	1949	1951	c
22	In welcher Besatzungszone wurde die DDR gegründet? In der …	sowjetischen Besatzungszone	französischen Besatzungszone	amerikanischen Besatzungszone	britischen Besatzungszone	a
23	Wann wurde die DDR gegründet?	1947	1949	1953	1956	b
24	Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?	3	4	5	6	b
25	Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?	Dresden	München	Frankfurt/Oder	Berlin	d
26	Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?	1 = Großbritannien, 2 = Sowjetunion, 3 = USA, 4 = Frankreich	1 = Großbritannien, 2 = USA, 3 = Sowjetunion, 4 = Frankreich	1 = Sowjetunion, 2 = Großbritannien, 3 = USA, 4 = Frankreich	1 = Großbritannien, 2 = Sowjetunion, 3 = Frankreich, 4 = USA	a
27	Vom Juni 1948 bis zum Mai 1949 wurden die Bürgerinnen und Bürger von West-Berlin durch eine Luftbrücke versorgt. Welcher Umstand war dafür verantwortlich?	Für Großbritannien war die Versorgung über die Luftbrücke schneller.	Für Frankreich war eine Versorgung der West-Berliner Bevölkerung mit dem Flugzeug kostengünstiger.	Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.	Die amerikanischen Soldaten/Soldatinnen hatten beim Landtransport Angst vor Überfällen.	c
28	Der erste Bundeskanzler der Bundesrepublik Deutschland war …	Konrad Adenauer.	Willy Brandt.	Ludwig Erhard.	Gerhard Schröder.	a
29	Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen jüdischen Ghetto in Warschau ausdrücken?	Er sprach ein Gebet am Grab des Unbekannten Soldaten	Er zeigte seine Demut vor dem Warschauer Pakt	Er hat sich den ehemaligen Alliierten unterworfen	Er bat Polen und die polnischen Juden um Vergebung	d
30	Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?	vor etwa 300 Jahren	vor etwa 700 Jahren	vor etwa 1150 Jahren	vor etwa 1700 Jahren	d
31	Wann war in der Bundesrepublik Deutschland das "Wirtschaftswunder"?	80er Jahre	70er Jahre	50er Jahre	40er Jahre	c
32	Woran erinnern die sogenannten „Stolpersteine“ in Deutschland?	an berühmte deutsche Politikerinnen und Politiker	an Verkehrstote	an bekannte jüdische Musiker	an die Opfer des Nationalsozialismus	d
33	Wofür stand der Ausdruck "Eiserner Vorhang"? Für die Abschottung..	Nazi-Deutschlands gegen die Alliierten	Europas gegen die USA	Norddeutschlands gegen Süddeutschland	des Warschauer Pakts gegen den Westen	d
34	Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?	9. November	20. Juli	17. Juni	1. Mai	c
35	Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und Ährenkranz?	DDR	Drittes Reich	Preußen	Bundesrepublik Deutschland	a
36	In welchem Jahr wurde die Mauer in Berlin gebaut?	1961	1959	1956	1953	a
37	Wann baute die DDR die Mauer in Berlin?	1990	1961	1933	1919	b
38	Was bedeutet die Abkürzung DDR?	Deutsche Demokratische Republik	Dritte Deutsche Republik	Dritter Deutscher Rundfunk	Die Deutsche Republik	a
39	Wann wurde die Mauer in Berlin für alle geöffnet?	1995	1992	1989	1987	c
40	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Hessen	Saarland	Brandenburg	Bayern	c
41	Von 1961 bis 1989 war Berlin …	durch eine Mauer geteilt.	ein eigener Staat.	nur mit dem Flugzeug erreichbar.	ohne Bürgermeister.	a
42	Am 3. Oktober feiert man in Deutschland den Tag der Deutschen …	Bundesländer.	Einheit.	Nation.	Städte.	b
43	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Saarland	Nordrhein-Westfalen	Hessen	Sachsen-Anhalt	d
44	Warum nennt man die Zeit im Herbst 1989 in der DDR "Die Wende"? In dieser Zeit veränderte sich die DDR politisch …	von einem religiösen Staat zu einem kommunistischen Staat.	von einer Monarchie zur Sozialdemokratie	von einer Diktatur zur Demokratie	von einer liberalen Marktwirtschaft zum Sozialismus.	c
45	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Hessen	Bayern	Bremen	Thüringen	d
46	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Baden-Württemberg	Sachsen	Bayern	Niedersachsen	b
47	Mit der Abkürzung "Stasi" meinte man in der DDR …	das Ministerium für Volksbildung.	eine regierende Partei.	das Parlament.	das Ministerium fuеr Staatssicherheit.	d
48	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Saarland	Schleswig-Holstein	Hessen	Mecklenburg-Vorpommern	d
49	Welche der folgenden Auflistungen enthält nur Bundesländer, die zum Gebiet der früheren DDR gehörten?	Sachsen, Thüringen, Hessen, Niedersachsen, Brandenburg	Bayern, Baden-Württemberg, Rheinland-Pfalz, Thüringen, Sachsen	Niedersachsen, Nordrhein-Westfalen, Hessen, Schleswig-Holstein, Brandenburg	Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen	d
50	Zu wem gehörte die DDR im "Kalten Krieg"?	zur NATO	zu den Westmächten	zu den blockfreien Staate	zum Warschauer Pakt	d
51	Wie hieß das Wirtschaftssystem der DDR?	Planwirtschaft	Kapitalismus	Marktwirtschaft	Angebot und Nachfrage	a
52	Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?	Die DDR hat die Bundesrepublik Deutschland besetzt.	Die westlichen Bundesländer sind der DDR beigetreten.	Die Bundesrepublik Deutschland hat die DDR besetzt.	Die heutigen fünf östlichen Bundesländer sind der Bundesrepublik Deutschland beigetreten.	d
53	Mit dem Beitritt der DDR zur Bundesrepublik Deutschland gehören die neuen Bundesländer nun auch …	zur Europäischen Verteidigungsgemeinschaft.	zum Warschauer Pakt.	zur Europäischen Union.	zur OPEC.	c
54	In welchem Militärbündnis war die DDR Mitglied?	im Warschauer Pakt	in der NATO	im Rheinbund	im Europabündnis	a
55	Was war die "Stasi"?	der Geheimdienst der DDR	ein deutscher Sportverein während des Zweiten Weltkrieges	der Geheimdienst im "Dritten Reich"	eine berühmte deutsche Gedenkstätte	a
56	Welches war das Wappen der Deutschen Demokratischen Republik?	1	2	3	4	d
57	Was ereignete sich am 17. Juni 1953 in der DDR?	landesweite Streiks und ein Volksaufstand	der erste Besuch Fidel Castros	der feierliche Beitritt zum Warschauer Pakt	der 1. SED-Parteitag	a
58	Wie heißt Deutschland mit vollem Namen?	Bundesbezirk Deutschland	Bundesrepublik Deutschland	Bundesstaat Deutschland	Bundesländer Deutschland	b
59	Wie viele Einwohner hat Deutschland?	90 Millionen	84 Millionen	78 Millionen	70 Millionen	b
60	Welche Farben hat die deutsche Flagge?	rot-weiß-schwarz	schwarz-rot-grün	schwarz-rot-gold	schwarz-gelb-rot	c
61	Wer wird als "Kanzler der Deutschen Einheit" bezeichnet?	Helmut Schmidt	Konrad Adenauer	Gerhard Schröder	Helmut Kohl	d
62	Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?	der Reichsadler	die Reichskrone	der Bundesadler	die Fahne der Stadt Berlin	c
63	In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?	1949 bis 1990	1945 bis 1961	1933 bis 1945	1919 bis 1927	a
64	Wie viele Bundesländer kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?	4	5	6	7	b
65	Die Bundesrepublik Deutschland hat die Grenzen von heute seit …	1933	1949	1971	1990	d
66	Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?	an die Verabschiedung des Grundgesetzes	an die Opfer des Nationalsozialismus	an das Ende des Zweiten Weltkrieges	an die Wiedervereinigung Deutschlands	b
67	Welcher Politiker steht für die "Ostverträge"?	Willy Brandt	Ludwig Erhard	Helmut Kohl	Michail Gorbatschow	a
68	Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?	EU-Osterweiterung	Europäische Gemeinschaft	NATO-Osterweiterung	Deutsche Wiedervereinigung	d
69	In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil?	hier Meinungsfreiheit gilt.	die Menschen das Wahlrecht haben.	hier Religionsfreiheit gilt.	die Menschen Steuern zahlen.	a
70	Wie heißt das jüdische Gebetshaus?	Basilika	Moschee	Synagoge	Kirche	c
71	In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am?	Religionsunterricht teilnimmt	Politikunterricht teilnimmt.	Geschichtsunterricht teilnimmt.	Sprachunterricht teilnimmt.	a
72	Deutschland ist ein Rechtsstaat. Was ist damit gemeint?	Die Gerichte machen die Gesetze.	Nur Deutsche müssen die Gesetze befolgen.	Alle Einwohner/Einwohnerinnen und der Staat müssen sich an die Gesetze halten.	Der Staat muss sich nicht an die Gesetze halten.	c
73	Welches Recht gehört zu den Grundrechten in Deutschland?	Selbstjustiz.	Meinungsfreiheit	Waffenbesitz	Faustrecht	b
74	Wie heißt die deutsche Verfassung?	Grundgesetz	Deutsches Gesetz	Volksgesetz	Bundesgesetz	a
75	Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf	Arbeit	Wohnung	Glaubens- und Gewissensfreiheit	Unterhaltung	c
76	Was steht nicht im Grundgesetz von Deutschland?	Alle sind vor dem Gesetz gleich.	Jeder Mensch darf seine Meinung sagen.	Die Würde des Menschen ist unantastbar.	Alle sollen gleich viel Geld haben	d
77	Welches Grundrecht gilt in Deutschland nur fur Ausländerinnen/Ausländer? Das Grundrecht auf …	Menschenwürde	Meinungsfreiheit	Schutz der Familie	Asyl	d
78	Was ist mit dem deutschen Grundgesetz vereinbar?	die Folter	die Geldstrafe	die Prügelstrafe	die Todesstrafe	b
79	Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das moglich?	Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden	Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.	Ja, aber dazu müssen zwei Drittel der Abgeordneten im Bundestag dafür sein	Ja, wenn mehr als die Halfte der Abgeordneten im Bundestag dafur sind.	a
80	Wie wird die Verfassung der Bundesrepublik Deutschland genannt?	Verfassungsvertrag	Gesetzbuch	Grundgesetz	Bundesverfassung	c
81	Meinungsfreiheit in Deutschland heißt, dass ich …	meine Meinung in Leserbriefen äußern kann.	Passanten auf der Straße beschimpfen darf.	meine Meinung nur dann äußern darf, solange ich der Regierung nicht widerspreche.	Nazi-, Hamas- oder Islamischer Staat-Symbole öffentlich tragen darf.	a
82	Was verbietet das deutsche Grundgesetz?	freie Berufswahl	Arbeit im Ausland	Militärdienst	Zwangsarbeit	
83	Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?	bei Kritik am Staat	bei Meinungsäusserungen über die Bundesregierung	bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen	bei Diskussionen über Religionen	c
84	Die deutschen Gesetze verbieten …	Ungleichbehandlung der Bürger und Bürgerinnen durch den Staat.	Versammlungsfreiheit der Einwohner und Einwohnerinnen.	Meinungsfreiheit der Einwohner und Einwohnerinnen.	Petitionen der Bürger und Bürgerinnen.	a
85	Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?	Religionsfreiheit	die Unantastbarkeit der Menschenwürde	das Recht auf Leben	Meinungsfreiheit	b
86	Was versteht man unter dem Recht der "Freizügigkeit" in Deutschland?	Man darf sich in der Offentlichkeit nur leicht bekleidet bewegen.	Man darf sich seinen Wohnort selbst aussuchen.	Man kann seinen Beruf wechseln.	Man darf sich für eine andere Religion entscheiden.	b
87	Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …	verfassungswidrig.	gesetzestreu.	tolerant.	rechtsstaatlich orientiert.	a
88	Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?	Niemand darf gegen Personen klagen, wenn sie benachteiligt wurden.	Niemand darf z. B. wegen einer Behinderung benachteiligt werden.	Es ist für alle Gesetz, benachteiligten Gruppen jährlich Geld zu spenden.	Man darf andere Personen benachteiligen, wenn ausreichende persönliche Gründe hierfür vorliegen.	b
89	Sie haben in Deutschland absichtlich einen Brief geöffnet, der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?	die Meinungsfreiheit	die Schweigepflicht	das Schweigerecht	das Briefgeheimnis	d
90	Eine Frau, die ein zweijähriges Kind hat, bewirbt sich in Deutschland um eine Stelle. Was ist ein Beispiel für Diskriminierung? Sie bekommt die Stelle nur deshalb nicht, weil sie ...	keine Erfahrungen in diesem Beruf hat.	kein Englisch spricht.	Mutter ist.	zu hohe Gehaltsvorstellungen hat.	c
91	Ein Mann im Rollstuhl hat sich auf eine Stelle als Buchhalter beworben. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil er ...	zu hohe Gehaltsvorstellungen hat.	keine Erfahrung hat.	im Rollstuhl sitzt.	kein Englisch spricht.	c
92	Zwei Freunde wollen in ein öffentliches Schwimmbad in Deutschland. Beide haben eine dunkle Hautfarbe und werden deshalb nicht hineingelassen. Welches Recht wird in dieser Situation verletzt? Das Recht auf …	Gleichbehandlung	Versammlungsfreiheit	Freizügigkeit	Meinungsfreiheit	a
93	Ein Mann mit dunkler Hautfarbe bewirbt sich um eine Stelle als Kellner in einem Restaurant in Deutschland. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil …	er keine Erfahrungen im Beruf hat.	er eine dunkle Haut hat.	seine Deutschkenntnisse zu gering sind.	er zu hohe Gehaltsvorstellungen hat.	b
94	Zu welchem Fest tragen Menschen in Deutschland bunte Kostüme und Masken?	an Pfingsten	beim Oktoberfest	am Rosenmontag	am Maifeiertag	c
95	Was ist in Deutschland ein Brauch zu Weihnachten?	sich mit Masken und Kostümen verkleiden	bunte Eier verstecken	Kürbisse vor die Tür stellen	einen Tannenbaum schmücken	d
96	Was ist in Deutschland ein Brauch zu Ostern?	Raketen in die Luft schießen	einen Tannenbaum schmücken	Kürbisse vor die Tür stellen	Eier bemalen	d
97	Pfingsten ist ein …	internationaler Trauertag.	christlicher Feiertag.	bayerischer Brauch.	deutscher Gedenktag.	b
98	In Deutschland nennt man die letzten vier Wochen vor Weihnachten …	die Adventszeit.	Allerheiligen.	das Erntedankfest.	den Buß- und Bettag.	a
99	Welches ist das Wappen der Bundesrepublik Deutschland?	1	2	3	4	a
100	Was für eine Staatsform hat Deutschland?	Monarchie	Fürstentum	Republik	Diktatur	c
101	Wie viele Bundesländer hat die Bundesrepublik Deutschland?	16	15	14	17	a
102	Was ist kein Bundesland der Bundesrepublik Deutschland?	Sachsen-Anhalt	Mecklenburg-Vorpommern	Nordrhein-Westfalen	Elsass-Lothringen	d
103	Deutschland ist …	ein sozialer und sozialistischer Bundesstaat.	eine kommunistische Republik.	ein demokratischer und sozialer Bundesstaat.	eine kapitalistische und soziale Monarchie.	c
104	Deutschland ist …	ein sozialistischer Staat.	eine Diktatur.	ein Bundesstaat.	eine Monarchie.	c
105	Welches Tier ist das Wappentier der Bundesrepublik Deutschland?	Bär	Adler	Löwe	Pferd	b
106	Was ist kein Merkmal unserer Demokratie?	Pressezensur	regelmäßige Wahlen	verschiedene Parteien	Meinungsfreiheit	a
107	Welche Aussage ist richtig? In Deutschland …	bilden die Religionsgemeinschaften den Staat.	sind Staat und Religionsgemeinschaften voneinander getrennt	bilden Staat und Religionsgemeinschaften eine Einheit.	ist der Staat abhängig von den Religionsgemeinschaften.	b
108	Welches Amt gehört in Deutschland zur Gemeindeverwaltung?	Finanzamt	Ordnungsamt	Pfarramt	Auswärtiges Amt	b
109	In Deutschland ist eine Bürgermeisterin/ein Bürgermeister …	das Oberhaupt einer Gemeinde	der Leiter/die Leiterin einer Schule	der Chef/die Chefin einer Bank	der/die Vorsitzende einer Partei	a
110	Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was können Sie machen, um die Buslinie zu erhalten?	Ich werde Mitglied in einem Sportverein und trainiere Rad fahren.	Ich beteilige mich an einer Bürgerinitiative für die Erhaltung der Buslinie oder gründe selber eine Initiative.	Ich schreibe einen Brief an das Forstamt der Gemeinde.	Ich wende mich an das Finanzamt, weil ich als Steuerzahler / Steuerzahlerin ein Recht auf die Buslinie habe.	b
111	Maik und Sybille wollen mit Freunden an ihrem deutschen Wohnort eine Demonstration auf der Straße abhalten. Was müssen sie vorher tun?	Sie müssen die Demonstration anmelden.	Maik und Sybille müssen einen neuen Verein gründen, weil nur Vereine demonstrieren dürfen	Sie können gar nichts tun, denn Demonstrationen sind in Deutschland grundsätzlich verboten	Sie müssen nichts tun. Man darf in Deutschland jederzeit überall demonstrieren.	a
112	Wo müssen Sie sich anmelden, wenn Sie in Deutschland umziehen?	beim Gewerbeamt	beim Einwohnermeldeamt	beim Standesamt	beim Ordnungsamt	b
